,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
285,9999,0,0,1,27,45,72,925,20.7,9.9,29,True,False,123,ambas,True,True,8
286,9999,0,0,1,24,44,68,1033,20.2,7.4,32,True,False,123,ambas,True,True,8
287,9999,0,0,1,27,40,67,415,21.5,4.7,32,True,False,123,ambas,True,True,8
288,9999,0,0,1,27,37,64,528,22.1,13.7,35,True,False,123,ambas,True,True,8
289,9999,0,0,1,28,31,59,665,21.7,12.1,38,True,False,123,ambas,True,True,8
290,9999,0,0,1,24,34,58,711,20.8,21.8,29,True,False,123,ambas,True,True,8
291,9999,0,0,1,23,76,99,824,20.6,38.6,48,True,False,123,ambas,True,True,8
292,9999,0,0,1,20,72,92,878,20.6,0.0,48,True,False,123,ambas,True,True,8
293,9999,0,0,1,19,64,83,883,20.8,11.1,49,True,False,123,ambas,True,True,8
294,9999,0,0,1,22,57,79,445,21.0,0.0,46,True,False,123,ambas,True,True,8
